Accession	Id	Description
PF00215	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00217	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	IGPS	Indole-3-glycerol phosphate synthase
PF00221	Lyase_aromatic	Aromatic amino acid lyase
PF00224	PK	Pyruvate kinase, barrel domain
PF00232	Glyco_hydro_1	Glycosyl hydrolase family 1
PF00233	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase
PF00239	Resolvase	Resolvase, N terminal domain
PF00245	Alk_phosphatase	Alkaline phosphatase
PF00246	Peptidase_M14	Zinc carboxypeptidase
PF00248	Aldo_ket_red	Aldo/keto reductase family
PF00254	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	GSHPx	Glutathione peroxidase
PF00258	Flavodoxin_1	Flavodoxin
PF00264	Tyrosinase	Common central domain of tyrosinase
PF00265	TK	Thymidine kinase
PF00266	Aminotran_5	Aminotransferase class-V
PF00267	Porin_1	Gram-negative porin
PF00268	Ribonuc_red_sm	Ribonucleotide reductase, small chain
PF00274	Glycolytic	Fructose-bisphosphate aldolase class-I
PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00278	Orn_DAP_Arg_deC	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00282	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain
PF00285	Citrate_synt	Citrate synthase, C-terminal domain
PF00289	Biotin_carb_N	Biotin carboxylase, N-terminal domain
PF00290	Trp_syntA	Tryptophan synthase alpha chain
PF00291	PALP	Pyridoxal-phosphate dependent enzyme
PF00292	PAX	'Paired box' domain
PF00293	NUDIX	NUDIX domain
PF00294	PfkB	pfkB family carbohydrate kinase
PF00295	Glyco_hydro_28	Glycosyl hydrolases family 28
PF00296	Bac_luciferase	Luciferase-like monooxygenase
PF00300	His_Phos_1	Histidine phosphatase superfamily (branch 1)
PF00302	CAT	Chloramphenicol acetyltransferase
PF00303	Thymidylat_synt	Thymidylate synthase
PF00305	Lipoxygenase	Lipoxygenase
PF00310	GATase_2	Glutamine amidotransferases class-II
PF00311	PEPcase	Phosphoenolpyruvate carboxylase
PF00316	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	Ribonuc_red_lgN	Ribonucleotide reductase, all-alpha domain
PF00328	His_Phos_2	Histidine phosphatase superfamily (branch 2)
PF00330	Aconitase	Aconitase family (aconitate hydratase)
PF00331	Glyco_hydro_10	Glycosyl hydrolase family 10
PF00332	Glyco_hydro_17	Glycosyl hydrolases family 17
PF00337	Gal-bind_lectin	Galactoside-binding lectin
PF00342	PGI	Phosphoglucose isomerase
PF00343	Phosphorylase	Carbohydrate phosphorylase
PF00348	polyprenyl_synt	Polyprenyl synthetase
PF00349	Hexokinase_1	Hexokinase
PF00351	Biopterin_H	Biopterin-dependent aromatic amino acid hydroxylase
PF00355	Rieske	Rieske [2Fe-2S] domain
PF00359	PTS_EIIA_2	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00364	Biotin_lipoyl	Biotin-requiring enzyme
PF00365	PFK	Phosphofructokinase
PF00367	PTS_EIIB	phosphotransferase system, EIIB
PF00368	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	FGGY_N	FGGY family of carbohydrate kinases, N-terminal domain
PF00378	ECH_1	Enoyl-CoA hydratase/isomerase
PF00383	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	Molybdopterin	Molybdopterin oxidoreductase
PF00387	PI-PLC-Y	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	PI-PLC-X	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	malic	Malic enzyme, N-terminal domain
PF00391	PEP-utilizers	PEP-utilising enzyme, mobile domain
PF00393	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	Cu-oxidase	Multicopper oxidase
PF00408	PGM_PMM_IV	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00413	Peptidase_M10	Matrixin
PF00425	Chorismate_bind	chorismate binding enzyme
PF00432	Prenyltrans	Prenyltransferase and squalene oxidase repeat
PF00433	Pkinase_C	Protein kinase C terminal domain
PF00438	S-AdoMet_synt_N	S-adenosylmethionine synthetase, N-terminal domain
PF00441	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain
PF00449	Urease_alpha	Urease alpha-subunit, N-terminal domain
PF00450	Peptidase_S10	Serine carboxypeptidase
PF00454	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase
PF00456	Transketolase_N	Transketolase, thiamine diphosphate binding domain
PF00457	Glyco_hydro_11	Glycosyl hydrolases family 11
PF00459	Inositol_P	Inositol monophosphatase family
PF00462	Glutaredoxin	Glutaredoxin
PF00463	ICL	Isocitrate lyase family
PF00464	SHMT	Serine hydroxymethyltransferase
PF00465	Fe-ADH	Iron-containing alcohol dehydrogenase
PF00475	IGPD	Imidazoleglycerol-phosphate dehydratase
PF00478	IMPDH	IMP dehydrogenase / GMP reductase domain
PF00479	G6PD_N	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00483	NTP_transferase	Nucleotidyl transferase
PF00484	Pro_CA	Carbonic anhydrase
PF00485	PRK	Phosphoribulokinase / Uridine kinase family
PF00487	FA_desaturase	Fatty acid desaturase
PF00490	ALAD	Delta-aminolevulinic acid dehydratase
PF00491	Arginase	Arginase family
PF00494	SQS_PSY	Squalene/phytoene synthase
PF00501	AMP-binding	AMP-binding enzyme
PF00507	Oxidored_q4	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00534	Glycos_transf_1	Glycosyl transferases group 1
PF00535	Glycos_transf_2	Glycosyl transferase family 2
PF00547	Urease_gamma	Urease, gamma subunit
PF00548	Peptidase_C3	3C cysteine protease (picornain 3C)
PF00549	Ligase_CoA	CoA-ligase
PF00550	PP-binding	Phosphopantetheine attachment site
PF00551	Formyl_trans_N	Formyl transferase
PF00561	Abhydrolase_1	alpha/beta hydrolase fold
PF00578	AhpC-TSA	AhpC/TSA family
PF00581	Rhodanese	Rhodanese-like domain
PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family
PF00586	AIRS	AIR synthase related protein, N-terminal domain
PF00590	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	Glycos_transf_3	Glycosyl transferase family, a/b domain
PF00596	Aldolase_II	Class II Aldolase and Adducin N-terminal domain
PF00609	DAGK_acc	Diacylglycerol kinase accessory domain
PF00625	Guanylate_kin	Guanylate kinase
PF00639	Rotamase	PPIC-type PPIASE domain
PF00656	Peptidase_C14	Caspase domain
PF00657	Lipase_GDSL	GDSL-like Lipase/Acylhydrolase
PF00667	FAD_binding_1	FAD binding domain
PF00668	Condensation	Condensation domain
PF00670	AdoHcyase_NAD	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00676	E1_dh	Dehydrogenase E1 component
PF00682	HMGL-like	HMGL-like
PF00685	Sulfotransfer_1	Sulfotransferase domain
PF00692	dUTPase	dUTPase
PF00693	Herpes_TK	Thymidine kinase from herpesvirus
PF00694	Aconitase_C	Aconitase C-terminal domain
PF00696	AA_kinase	Amino acid kinase family
PF00697	PRAI	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	Acyl_transf_1	Acyl transferase domain
PF00699	Urease_beta	Urease beta subunit
PF00701	DHDPS	Dihydrodipicolinate synthetase family
PF00702	Hydrolase	haloacid dehalogenase-like hydrolase
PF00703	Glyco_hydro_2	Glycosyl hydrolases family 2
PF00704	Glyco_hydro_18	Glycosyl hydrolases family 18
PF00708	Acylphosphatase	Acylphosphatase
PF00709	Adenylsucc_synt	Adenylosuccinate synthetase
PF00716	Peptidase_S21	Assemblin (Peptidase family S21)
PF00719	Pyrophosphatase	Inorganic pyrophosphatase
PF00722	Glyco_hydro_16	Glycosyl hydrolases family 16
PF00723	Glyco_hydro_15	Glycosyl hydrolases family 15
PF00724	Oxidored_FMN	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	3HCDH	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00728	Glyco_hydro_20	Glycosyl hydrolase family 20, catalytic domain
PF00731	AIRC	AIR carboxylase
PF00732	GMC_oxred_N	GMC oxidoreductase
PF00733	Asn_synthase	Asparagine synthase
PF00742	Homoserine_dh	Homoserine dehydrogenase
PF00743	FMO-like	Flavin-binding monooxygenase-like
PF00745	GlutR_dimer	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00755	Carn_acyltransf	Choline/Carnitine o-acyltransferase
PF00756	Esterase	Putative esterase
PF00759	Glyco_hydro_9	Glycosyl hydrolase family 9
PF00762	Ferrochelatase	Ferrochelatase
PF00763	THF_DHG_CYH	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	Arginosuc_synth	Arginosuccinate synthase
PF00765	Autoind_synth	Autoinducer synthase
PF00766	ETF_alpha	Electron transfer flavoprotein FAD-binding domain
PF00768	Peptidase_S11	D-alanyl-D-alanine carboxypeptidase
PF00770	Peptidase_C5	Adenovirus endoprotease
PF00775	Dioxygenase_C	Dioxygenase
PF00777	Glyco_transf_29	Glycosyltransferase family 29 (sialyltransferase)
PF00781	DAGK_cat	Diacylglycerol kinase catalytic domain
PF00782	DSPc	Dual specificity phosphatase, catalytic domain
PF00793	DAHP_synth_1	DAHP synthetase I family
PF00795	CN_hydrolase	Carbon-nitrogen hydrolase
PF00797	Acetyltransf_2	N-acetyltransferase
PF00800	PDT	Prephenate dehydratase
PF00809	Pterin_bind	Pterin binding enzyme
PF00815	Histidinol_dh	Histidinol dehydrogenase
PF00821	PEPCK_GTP	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00834	Ribul_P_3_epim	Ribulose-phosphate 3 epimerase family
PF00837	T4_deiodinase	Iodothyronine deiodinase
PF00840	Glyco_hydro_7	Glycosyl hydrolase family 7
PF00842	Ala_racemase_C	Alanine racemase, C-terminal domain
PF00848	Ring_hydroxyl_A	Ring hydroxylating alpha subunit (catalytic domain)
PF00851	Peptidase_C6	Helper component proteinase
PF00852	Glyco_transf_10	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00857	Isochorismatase	Isochorismatase family
PF00863	Peptidase_C4	Peptidase family C4
PF00866	Ring_hydroxyl_B	Ring hydroxylating beta subunit
PF00871	Acetate_kinase	Acetokinase family
PF00881	Nitroreductase	Nitroreductase family
PF00882	Zn_dep_PLPC	Zinc dependent phospholipase C
PF00883	Peptidase_M17	Cytosol aminopeptidase family, catalytic domain
PF00884	Sulfatase	Sulfatase
PF00885	DMRL_synthase	6,7-dimethyl-8-ribityllumazine synthase
PF00890	FAD_binding_2	FAD binding domain
PF00891	Methyltransf_2	O-methyltransferase domain
PF00899	ThiF	ThiF family
PF00903	Glyoxalase	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00908	dTDP_sugar_isom	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00920	ILVD_EDD	Dehydratase family
PF00923	TAL_FSA	Transaldolase/Fructose-6-phosphate aldolase
PF00925	GTP_cyclohydro2	GTP cyclohydrolase II
PF00926	DHBP_synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00927	Transglut_C	Transglutaminase family, C-terminal ig like domain
PF00933	Glyco_hydro_3	Glycosyl hydrolase family 3 N terminal domain
PF00941	FAD_binding_5	FAD binding domain in molybdopterin dehydrogenase
PF00949	Peptidase_S7	Peptidase S7, Flavivirus NS3 serine protease
PF00953	Glycos_transf_4	Glycosyl transferase family 4
PF00958	GMP_synt_C	GMP synthase C terminal domain
PF00962	A_deaminase	Adenosine deaminase
PF00970	FAD_binding_6	Oxidoreductase FAD-binding domain
PF00975	Thioesterase	Thioesterase domain
PF00977	His_biosynth	Histidine biosynthesis protein
PF00982	Glyco_transf_20	Glycosyltransferase family 20
PF00984	UDPG_MGDP_dh	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00990	GGDEF	Diguanylate cyclase, GGDEF domain
PF00994	MoCF_biosynth	Probable molybdopterin binding domain
PF01011	PQQ	PQQ enzyme repeat
PF01012	ETF	Electron transfer flavoprotein domain
PF01019	G_glu_transpept	Gamma-glutamyltranspeptidase
PF01039	Carboxyl_trans	Carboxyl transferase domain
PF01040	UbiA	UbiA prenyltransferase family
PF01041	DegT_DnrJ_EryC1	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01048	PNP_UDP_1	Phosphorylase superfamily
PF01050	MannoseP_isomer	Mannose-6-phosphate isomerase
PF01053	Cys_Met_Meta_PP	Cys/Met metabolism PLP-dependent enzyme
PF01055	Glyco_hydro_31	Glycosyl hydrolases family 31
PF01059	Oxidored_q5_N	NADH-ubiquinone oxidoreductase chain 4, amino terminus
PF01063	Aminotran_4	Amino-transferase class IV
PF01066	CDP-OH_P_transf	CDP-alcohol phosphatidyltransferase
PF01070	FMN_dh	FMN-dependent dehydrogenase
PF01071	GARS_A	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01073	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074	Glyco_hydro_38N	Glycosyl hydrolases family 38 N-terminal domain
PF01075	Glyco_transf_9	Glycosyltransferase family 9 (heptosyltransferase)
PF01077	NIR_SIR	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	Mg_chelatase	Magnesium chelatase, subunit ChlI
PF01080	Presenilin	Presenilin
PF01081	Aldolase	KDPG and KHG aldolase
PF01082	Cu2_monooxygen	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF01083	Cutinase	Cutinase
PF01087	GalP_UDP_transf	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01095	Pectinesterase	Pectinesterase
PF01106	NifU	NifU-like domain
PF01112	Asparaginase_2	Asparaginase
PF01113	DapB_N	Dihydrodipicolinate reductase, N-terminus
PF01116	F_bP_aldolase	Fructose-bisphosphate aldolase class-II
PF01118	Semialdhyde_dh	Semialdehyde dehydrogenase, NAD binding domain
PF01120	Alpha_L_fucos	Alpha-L-fucosidase
PF01121	CoaE	Dephospho-CoA kinase
PF01126	Heme_oxygenase	Heme oxygenase
PF01127	Sdh_cyt	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	IspD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01129	ART	NAD:arginine ADP-ribosyltransferase
PF01135	PCMT	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	Peptidase_U32	Peptidase family U32
PF01144	CoA_trans	Coenzyme A transferase
PF01148	CTP_transf_1	Cytidylyltransferase family
PF01149	Fapy_DNA_glyco	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01150	GDA1_CD39	GDA1/CD39 (nucleoside phosphatase) family
PF01154	HMG_CoA_synt_N	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF01168	Ala_racemase_N	Alanine racemase, N-terminal domain
PF01174	SNO	SNO glutamine amidotransferase family
PF01175	Urocanase	Urocanase Rossmann-like domain
PF01177	Asp_Glu_race	Asp/Glu/Hydantoin racemase
PF01179	Cu_amine_oxid	Copper amine oxidase, enzyme domain
PF01180	DHO_dh	Dihydroorotate dehydrogenase
PF01182	Glucosamine_iso	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	Glyco_hydro_25	Glycosyl hydrolases family 25
PF01186	Lysyl_oxidase	Lysyl oxidase
PF01202	SKI	Shikimate kinase
PF01204	Trehalase	Trehalase
PF01207	Dus	Dihydrouridine synthase (Dus)
PF01208	URO-D	Uroporphyrinogen decarboxylase (URO-D)
PF01209	Ubie_methyltran	ubiE/COQ5 methyltransferase family
PF01210	NAD_Gly3P_dh_N	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	Beta_elim_lyase	Beta-eliminating lyase
PF01218	Coprogen_oxidas	Coproporphyrinogen III oxidase
PF01219	DAGK_prokar	Prokaryotic diacylglycerol kinase
PF01220	DHquinase_II	Dehydroquinase class II
PF01227	GTP_cyclohydroI	GTP cyclohydrolase I
PF01229	Glyco_hydro_39	Glycosyl hydrolases family 39
PF01232	Mannitol_dh	Mannitol dehydrogenase Rossmann domain
PF01233	NMT	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
PF01234	NNMT_PNMT_TEMT	NNMT/PNMT/TEMT family
PF01238	PMI_typeI	Phosphomannose isomerase type I
PF01239	PPTA	Protein prenyltransferase alpha subunit repeat
PF01242	PTPS	6-pyruvoyl tetrahydropterin synthase
PF01243	Putative_PNPOx	Pyridoxamine 5'-phosphate oxidase
PF01244	Peptidase_M19	Membrane dipeptidase (Peptidase family M19)
PF01252	Peptidase_A8	Signal peptidase (SPase) II
PF01255	Prenyltransf	Putative undecaprenyl diphosphate synthase
PF01256	Carb_kinase	Carbohydrate kinase
PF01261	AP_endonuc_2	Xylose isomerase-like TIM barrel
PF01262	AlaDh_PNT_C	Alanine dehydrogenase/PNT, C-terminal domain
PF01263	Aldose_epim	Aldose 1-epimerase
PF01264	Chorismate_synt	Chorismate synthase
PF01266	DAO	FAD dependent oxidoreductase
PF01268	FTHFS	Formate--tetrahydrofolate ligase
PF01270	Glyco_hydro_8	Glycosyl hydrolases family 8
PF01274	Malate_synthase	Malate synthase
PF01288	HPPK	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01292	Ni_hydr_CYTB	Prokaryotic cytochrome b561
PF01293	PEPCK_ATP	Phosphoenolpyruvate carboxykinase
PF01295	Adenylate_cycl	Adenylate cyclase, class-I
PF01301	Glyco_hydro_35	Glycosyl hydrolases family 35
PF01314	AFOR_C	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF01315	Ald_Xan_dh_C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF01321	Creatinase_N	Creatinase/Prolidase N-terminal domain
PF01323	DSBA	DSBA-like thioredoxin domain
PF01326	PPDK_N	Pyruvate phosphate dikinase, AMP/ATP-binding domain
PF01328	Peroxidase_2	Peroxidase, family 2
PF01329	Pterin_4a	Pterin 4 alpha carbinolamine dehydratase
PF01339	CheB_methylest	CheB methylesterase
PF01341	Glyco_hydro_6	Glycosyl hydrolases family 6
PF01343	Peptidase_S49	Peptidase family S49
PF01361	Tautomerase	Tautomerase enzyme
PF01364	Peptidase_C25	Peptidase family C25
PF01370	Epimerase	NAD dependent epimerase/dehydratase family
PF01373	Glyco_hydro_14	Glycosyl hydrolase family 14
PF01374	Glyco_hydro_46	Glycosyl hydrolase family 46
PF01379	Porphobil_deam	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01380	SIS	SIS domain
PF01397	Terpene_synth	Terpene synthase, N-terminal domain
PF01400	Astacin	Astacin (Peptidase family M12A)
PF01408	GFO_IDH_MocA	Oxidoreductase family, NAD-binding Rossmann fold
PF01421	Reprolysin	Reprolysin (M12B) family zinc metalloprotease
PF01425	Amidase	Amidase
PF01427	Peptidase_M15	D-ala-D-ala dipeptidase
PF01431	Peptidase_M13	Peptidase family M13
PF01432	Peptidase_M3	Peptidase family M3
PF01434	Peptidase_M41	Peptidase family M41
PF01435	Peptidase_M48	Peptidase family M48
PF01436	NHL	NHL repeat
PF01441	Lipoprotein_6	Lipoprotein
PF01442	Apolipoprotein	Apolipoprotein A1/A4/E domain
PF01447	Peptidase_M4	Thermolysin metallopeptidase, catalytic domain
PF01450	IlvC	Acetohydroxy acid isomeroreductase, catalytic domain
PF01451	LMWPc	Low molecular weight phosphotyrosine protein phosphatase
PF01457	Peptidase_M8	Leishmanolysin
PF01464	SLT	Transglycosylase SLT domain
PF01467	CTP_transf_like	Cytidylyltransferase-like
PF01471	PG_binding_1	Putative peptidoglycan binding domain
PF01474	DAHP_synth_2	Class-II DAHP synthetase family
PF01478	Peptidase_A24	Type IV leader peptidase family
PF01483	P_proprotein	Proprotein convertase P-domain
PF01487	DHquinase_I	Type I 3-dehydroquinase
PF01488	Shikimate_DH	Shikimate / quinate 5-dehydrogenase
PF01493	GXGXG	GXGXG motif
PF01494	FAD_binding_3	FAD binding domain
PF01501	Glyco_transf_8	Glycosyl transferase family 8
PF01502	PRA-CH	Phosphoribosyl-AMP cyclohydrolase
PF01504	PIP5K	Phosphatidylinositol-4-phosphate 5-Kinase
PF01507	PAPS_reduct	Phosphoadenosine phosphosulfate reductase family
PF01510	Amidase_2	N-acetylmuramoyl-L-alanine amidase
PF01513	NAD_kinase	ATP-NAD kinase N-terminal domain
PF01515	PTA_PTB	Phosphate acetyl/butaryl transferase
PF01520	Amidase_3	N-acetylmuramoyl-L-alanine amidase
PF01521	Fe-S_biosyn	Iron-sulphur cluster biosynthesis
PF01522	Polysacc_deac_1	Polysaccharide deacetylase
PF01531	Glyco_transf_11	Glycosyl transferase family 11
PF01532	Glyco_hydro_47	Glycosyl hydrolase family 47
PF01536	SAM_decarbox	Adenosylmethionine decarboxylase
PF01553	Acyltransferase	Acyltransferase
PF01557	FAA_hydrolase	Fumarylacetoacetate (FAA) hydrolase family
PF01558	POR	Pyruvate ferredoxin/flavodoxin oxidoreductase
PF01564	Spermine_synth	Spermine/spermidine synthase domain
PF01565	FAD_binding_4	FAD binding domain
PF01568	Molydop_binding	Molydopterin dinucleotide binding domain
PF01569	PAP2	PAP2 superfamily
PF01571	GCV_T	Aminomethyltransferase folate-binding domain
PF01575	MaoC_dehydratas	MaoC like domain
PF01583	APS_kinase	Adenylylsulphate kinase
PF01591	6PF2K	6-phosphofructo-2-kinase
PF01592	NifU_N	NifU-like N terminal domain
PF01593	Amino_oxidase	Flavin containing amine oxidoreductase
PF01595	DUF21	Cyclin M transmembrane N-terminal domain
PF01596	Methyltransf_3	O-methyltransferase
PF01613	Flavin_Reduct	Flavin reductase like domain
PF01619	Pro_dh	Proline dehydrogenase
PF01625	PMSR	Peptide methionine sulfoxide reductase
PF01627	Hpt	Hpt domain
PF01630	Glyco_hydro_56	Hyaluronidase
PF01633	Choline_kinase	Choline/ethanolamine kinase
PF01634	HisG	ATP phosphoribosyltransferase
PF01636	APH	Phosphotransferase enzyme family
PF01640	Peptidase_C10	Peptidase C10 family
PF01641	SelR	SelR domain
PF01642	MM_CoA_mutase	Methylmalonyl-CoA mutase
PF01643	Acyl-ACP_TE	Acyl-ACP thioesterase
PF01644	Chitin_synth_1	Chitin synthase
PF01645	Glu_synthase	Conserved region in glutamate synthase
PF01648	ACPS	4'-phosphopantetheinyl transferase superfamily
PF01650	Peptidase_C13	Peptidase C13 family
PF01656	CbiA	CobQ/CobB/MinD/ParA nucleotide binding domain
PF01658	Inos-1-P_synth	Myo-inositol-1-phosphate synthase
PF01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase
PF01670	Glyco_hydro_12	Glycosyl hydrolase family 12
PF01674	Lipase_2	Lipase (class 2)
PF01676	Metalloenzyme	Metalloenzyme superfamily
PF01678	DAP_epimerase	Diaminopimelate epimerase
PF01687	Flavokinase	Riboflavin kinase
PF01694	Rhomboid	Rhomboid family
PF01697	Glyco_transf_92	Glycosyltransferase family 92
PF01704	UDPGP	UTP--glucose-1-phosphate uridylyltransferase
PF01712	dNK	Deoxynucleoside kinase
PF01717	Meth_synt_2	Cobalamin-independent synthase, Catalytic domain
PF01728	FtsJ	FtsJ-like methyltransferase
PF01729	QRPTase_C	Quinolinate phosphoribosyl transferase, C-terminal domain
PF01731	Arylesterase	Arylesterase
PF01734	Patatin	Patatin-like phospholipase
PF01735	PLA2_B	Lysophospholipase catalytic domain
PF01738	DLH	Dienelactone hydrolase family
PF01742	Peptidase_M27	Clostridial neurotoxin zinc protease
PF01745	IPT	Isopentenyl transferase
PF01747	ATP-sulfurylase	ATP-sulfurylase
PF01750	HycI	Hydrogenase maturation protease
PF01752	Peptidase_M9	Collagenase
PF01755	Glyco_transf_25	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF01756	ACOX	Acyl-CoA oxidase
PF01757	Acyl_transf_3	Acyltransferase family
PF01761	DHQ_synthase	3-dehydroquinate synthase
PF01762	Galactosyl_T	Galactosyltransferase
PF01764	Lipase_3	Lipase (class 3)
PF01790	LGT	Prolipoprotein diacylglyceryl transferase
PF01791	DeoC	DeoC/LacD family aldolase
PF01793	Glyco_transf_15	Glycolipid 2-alpha-mannosyltransferase
